PackageID,name,description,Returnable,Rate
4779,REEL ,,,
4780,COLOUR.,,,
4781,10.00-20 TYRE8,,,
4782,KAGAD.,,,
4783,BANDAL`,,,
4784,`,,,
4785,1,,,
4786,50 LIT,,,
4787,BOX2,,,
4788,BAB,,,
4789,2,,,
4790,50 LT ,,,
4791,PLY,,,
4792,WOODEN PATTI,,,
4793,BHANDI BOX,,,
4794,1 PIPE BUNDLE,,,
4795,NEW PUMP ROLL,,,
4796,1 BOX,,,
4797,GADI ROLL,,,
4798,BOXES,,,
4799,BOXES`,,,
4800,3,,,
4801,BHANDI BUNDAL,,,
4802,.DRUM,,,
4803,BOXEDS,,,
4804,BUNDLE,,,
4805,0,,,
4806,MACHIN BOX,,,
4807,FIX LOAD,,,
4808,BUNDEL,,,
4809,155/70R14TYRE,,,
4810,REFRIGARATOR,,,
4811,Water Purifier,,,
4812,PIPE BUNDL,,,
4813,PIEP BUNDLE,,,
4814,380/85R28,,,
4815,COPPER BOXES,,,
4816,DUKATI BAG,,,
4817,TRIP BUNDLE,,,
4818,Box Es,,,
4819,SLEEVE BAG,,,
4820,CABLE BUNDLE,,,
4821,BEARING BAG,,,
4822,DUCATI BAG,,,
4823,CYCLE,,,
4824,120/70-14 TYRE,,,
4825,XEROX PAPER BUNDLE,,,
4826,LED TV,,,
4827,SUTALI BUNDAL,,,
4828,4 BOXES,,,
4829,FREEZER,,,
4830,PATA BUNDLE,,,
4831,3 BOXES,,,
4832,DOUBLE BOX NUNDLE,,,
4833, DRILL ROD,,,
4834,DRILL RAWD,,,
4835,AC SET,,,
4836,VAGES BAG,,,
4837,INVERTER,,,
4838,AC BOXES,,,
4839,PAPER BUNDLE,,,
4840,AC STAND,,,
4841,FAN BOXES,,,
4842,BUNDAL TOOLS,,,
4843,BUCKETS,,,
4844,PAPER BUNDEL,,,
4845,PAPER ,,,
4846,FLAP,,,
4847,GHAR SAMAN,,,
4848,JOD JALI BUNDAL,,,
4849,BAR BUNDLE,,,
4850,TRAY EGGS,,,
4851,BUSH BOX,,,
4852,VEGES BAG,,,
4853,BOOK,,,
4854,BOXS,,,
4855,DIX,,,
4856,TYLES,,,
4857,CATLY,,,
4858,RAWD BUNDLE,,,
4859,PAPER GONI ,,,
4860,GONI BAG,,,
4861,GREESE BOX,,,
4862,BUCKET `,,,
4863,D FREEZE,,,
4864,TYLES BOXES,,,
4865,SALAIN BOX,,,
4866,8.15-15 TYRE,,,
4867,BIG PATTA,,,
4868,CYLENDER,,,
4869,MARBEL,,,
4870,RUBBER BUNDLE,,,
4871,PIPE BUNDLE,,,
4872,PALANA,,,
4873,GADI BOX,,,
4874,ROLL  BUNDLE,,,
4875,AXEL GONI,,,
4876,ALUMINIUM BRACKET,,,
4877,ROLL BUNDEL,,,
4878,TYRE  BUNDLE,,,
4879,BARREL,,,
4880,RINGF BUNDLE,,,
4881,BARREL1,,,
4882,BAR BUNDEL,,,
4883,PVC GONI,,,
4884,TRO\,,,
4885,B0XES,,,
4886,RUBBER BUNDEL,,,
4887,TWO WHEELER BIKE,,,
4888,BARA,,,
4889,PAPER SHEET,,,
4890,PVC BOXES,,,
4891,BOX BUNDLE,,,
